RefOGs	num_species	num_genes	num_genes_per_species	avg_tree_length	min_length	max_length	mean_length	median_length	invariable_sites_proportion	gamma_shape	total_tree_length	Orthogroups
RefOG070	12	13	1.0833	0.0861	428	507	435	428	0.1588	1.6111	2.0654	Rattus_norvegicus.ENSRNOP00000071791, Danio_rerio.ENSDARP00000054625, Gallus_gallus.ENSGALP00000004141, Canis_familiaris.ENSCAFP00000030390, Pan_troglodytes.ENSPTRP00000029652, Tetraodon_nigroviridis.ENSTNIP00000013021, Danio_rerio.ENSDARP00000135487, Monodelphis_domestica.ENSMODP00000013319, Homo_sapiens.ENSP00000302967, Caenorhabditis_elegans.WBGene00001835.1, Mus_musculus.ENSMUSP00000037981, Drosophila_melanogaster.FBpp0078414, Ciona_intestinalis.ENSCINP00000004801
RefOG011	11	94	8.5455	0.2492	129	829	447	478	0.0025	5.0296	46.3455	Homo_sapiens.ENSP00000170150, Mus_musculus.ENSMUSP00000046683, Mus_musculus.ENSMUSP00000080501, Canis_familiaris.ENSCAFP00000010917, Canis_familiaris.ENSCAFP00000051263, Tetraodon_nigroviridis.ENSTNIP00000000293, Tetraodon_nigroviridis.ENSTNIP00000010150, Gallus_gallus.ENSGALP00000045600, Rattus_norvegicus.ENSRNOP00000018512, Ciona_intestinalis.ENSCINP00000025896, Mus_musculus.ENSMUSP00000016168, Pan_troglodytes.ENSPTRP00000022962, Gallus_gallus.ENSGALP00000071616, Rattus_norvegicus.ENSRNOP00000017876, Homo_sapiens.ENSP00000364562, Monodelphis_domestica.ENSMODP00000030671, Canis_familiaris.ENSCAFP00000010902, Homo_sapiens.ENSP00000501266, Gallus_gallus.ENSGALP00000056066, Tetraodon_nigroviridis.ENSTNIP00000005555, Homo_sapiens.ENSP00000253362, Monodelphis_domestica.ENSMODP00000000170, Monodelphis_domestica.ENSMODP00000000058, Gallus_gallus.ENSGALP00000010903, Mus_musculus.ENSMUSP00000159206, Pan_troglodytes.ENSPTRP00000022947, Monodelphis_domestica.ENSMODP00000017144, Pan_troglodytes.ENSPTRP00000067809, Pan_troglodytes.ENSPTRP00000042215, Canis_familiaris.ENSCAFP00000053048, Canis_familiaris.ENSCAFP00000056303, Homo_sapiens.ENSP00000253354, Rattus_norvegicus.ENSRNOP00000019787, Homo_sapiens.ENSP00000380594, Homo_sapiens.ENSP00000217407, Mus_musculus.ENSMUSP00000028986, Homo_sapiens.ENSP00000200676, Rattus_norvegicus.ENSRNOP00000032123, Pan_troglodytes.ENSPTRP00000055611, Mus_musculus.ENSMUSP00000067837, Gallus_gallus.ENSGALP00000038462, Canis_familiaris.ENSCAFP00000010887, Homo_sapiens.ENSP00000344929, Gallus_gallus.ENSGALP00000010763, Caenorhabditis_elegans.WBGene00007325.1, Pan_troglodytes.ENSPTRP00000023152, Monodelphis_domestica.ENSMODP00000045835, Mus_musculus.ENSMUSP00000046080, Pan_troglodytes.ENSPTRP00000023154, Pan_troglodytes.ENSPTRP00000024606, Pan_troglodytes.ENSPTRP00000087924, Mus_musculus.ENSMUSP00000104939, Canis_familiaris.ENSCAFP00000013086, Mus_musculus.ENSMUSP00000063107, Rattus_norvegicus.ENSRNOP00000022594, Monodelphis_domestica.ENSMODP00000056473, Mus_musculus.ENSMUSP00000028984, Gallus_gallus.ENSGALP00000056121, Rattus_norvegicus.ENSRNOP00000038379, Pan_troglodytes.ENSPTRP00000092888, Pan_troglodytes.ENSPTRP00000052264, Canis_familiaris.ENSCAFP00000014457, Monodelphis_domestica.ENSMODP00000000053, Monodelphis_domestica.ENSMODP00000038592, Canis_familiaris.ENSCAFP00000010928, Canis_familiaris.ENSCAFP00000010978, Rattus_norvegicus.ENSRNOP00000052209, Mus_musculus.ENSMUSP00000028985, Mus_musculus.ENSMUSP00000086342, Rattus_norvegicus.ENSRNOP00000020713, Mus_musculus.ENSMUSP00000086347, Rattus_norvegicus.ENSRNOP00000047586, Canis_familiaris.ENSCAFP00000035668, Pan_troglodytes.ENSPTRP00000022959, Rattus_norvegicus.ENSRNOP00000052216, Rattus_norvegicus.ENSRNOP00000049523, Caenorhabditis_elegans.WBGene00015545.1, Monodelphis_domestica.ENSMODP00000000214, Gallus_gallus.ENSGALP00000067696, Pan_troglodytes.ENSPTRP00000046582, Homo_sapiens.ENSP00000262865, Canis_familiaris.ENSCAFP00000010879, Rattus_norvegicus.ENSRNOP00000018581, Canis_familiaris.ENSCAFP00000054310, Homo_sapiens.ENSP00000364643, Mus_musculus.ENSMUSP00000028983, Canis_familiaris.ENSCAFP00000010910, Danio_rerio.ENSDARP00000131164, Rattus_norvegicus.ENSRNOP00000016431, Homo_sapiens.ENSP00000361508, Danio_rerio.ENSDARP00000139184, Homo_sapiens.ENSP00000364603, Pan_troglodytes.ENSPTRP00000022948, Rattus_norvegicus.ENSRNOP00000018226
RefOG060	11	68	6.1818	0.135	104	447	319	320	0.0000	1.5962	18.0852	Danio_rerio.ENSDARP00000098491, Canis_familiaris.ENSCAFP00000036147, Danio_rerio.ENSDARP00000119475, Pan_troglodytes.ENSPTRP00000024653, Rattus_norvegicus.ENSRNOP00000004383, Homo_sapiens.ENSP00000005284, Pan_troglodytes.ENSPTRP00000077368, Homo_sapiens.ENSP00000262138, Danio_rerio.ENSDARP00000155289, Mus_musculus.ENSMUSP00000021066, Pan_troglodytes.ENSPTRP00000016239, Pan_troglodytes.ENSPTRP00000013481, Rattus_norvegicus.ENSRNOP00000075354, Mus_musculus.ENSMUSP00000019290, Tetraodon_nigroviridis.ENSTNIP00000010929, Caenorhabditis_elegans.WBGene00007670.1, Tetraodon_nigroviridis.ENSTNIP00000014204, Mus_musculus.ENSMUSP00000081664, Homo_sapiens.ENSP00000436836, Mus_musculus.ENSMUSP00000138618, Rattus_norvegicus.ENSRNOP00000069074, Tetraodon_nigroviridis.ENSTNIP00000004552, Homo_sapiens.ENSP00000300105, Mus_musculus.ENSMUSP00000137710, Canis_familiaris.ENSCAFP00000061579, Danio_rerio.ENSDARP00000136308, Tetraodon_nigroviridis.ENSTNIP00000014905, Gallus_gallus.ENSGALP00000058205, Pan_troglodytes.ENSPTRP00000019652, Caenorhabditis_elegans.WBGene00017400.1, Canis_familiaris.ENSCAFP00000043873, Mus_musculus.ENSMUSP00000090567, Danio_rerio.ENSDARP00000041387, Gallus_gallus.ENSGALP00000056198, Rattus_norvegicus.ENSRNOP00000016632, Gallus_gallus.ENSGALP00000043241, Monodelphis_domestica.ENSMODP00000020393, Mus_musculus.ENSMUSP00000144569, Tetraodon_nigroviridis.ENSTNIP00000017140, Tetraodon_nigroviridis.ENSTNIP00000000351, Danio_rerio.ENSDARP00000118548, Tetraodon_nigroviridis.ENSTNIP00000008143, Homo_sapiens.ENSP00000375647, Monodelphis_domestica.ENSMODP00000036263, Tetraodon_nigroviridis.ENSTNIP00000021357, Tetraodon_nigroviridis.ENSTNIP00000022009, Gallus_gallus.ENSGALP00000006216, Homo_sapiens.ENSP00000270458, Gallus_gallus.ENSGALP00000070440, Danio_rerio.ENSDARP00000115063, Danio_rerio.ENSDARP00000128562, Canis_familiaris.ENSCAFP00000041557, Danio_rerio.ENSDARP00000122486, Mus_musculus.ENSMUSP00000047888, Drosophila_melanogaster.FBpp0076940, Gallus_gallus.ENSGALP00000072719, Pan_troglodytes.ENSPTRP00000048500, Rattus_norvegicus.ENSRNOP00000004578, Tetraodon_nigroviridis.ENSTNIP00000021358, Canis_familiaris.ENSCAFP00000039820, Tetraodon_nigroviridis.ENSTNIP00000014563, Danio_rerio.ENSDARP00000099217, Tetraodon_nigroviridis.ENSTNIP00000010928, Danio_rerio.ENSDARP00000152488, Monodelphis_domestica.ENSMODP00000044818, Danio_rerio.ENSDARP00000024358, Canis_familiaris.ENSCAFP00000066699, Rattus_norvegicus.ENSRNOP00000008414
RefOG048	11	40	3.6364	0.0827	78	1247	153	84	0.0000	1.3051	6.4521	Tetraodon_nigroviridis.ENSTNIP00000021486, Pan_troglodytes.ENSPTRP00000075709, Monodelphis_domestica.ENSMODP00000053445, Danio_rerio.ENSDARP00000029079, Mus_musculus.ENSMUSP00000060523, Pan_troglodytes.ENSPTRP00000066134, Rattus_norvegicus.ENSRNOP00000068335, Monodelphis_domestica.ENSMODP00000021571, Rattus_norvegicus.ENSRNOP00000066362, Rattus_norvegicus.ENSRNOP00000073014, Canis_familiaris.ENSCAFP00000065740, Rattus_norvegicus.ENSRNOP00000033162, Canis_familiaris.ENSCAFP00000036474, Canis_familiaris.ENSCAFP00000059444, Pan_troglodytes.ENSPTRP00000092483, Homo_sapiens.ENSP00000453764, Caenorhabditis_elegans.WBGene00004496.1, Gallus_gallus.ENSGALP00000065928, Pan_troglodytes.ENSPTRP00000069586, Mus_musculus.ENSMUSP00000132102, Rattus_norvegicus.ENSRNOP00000022897, Pan_troglodytes.ENSPTRP00000091617, Rattus_norvegicus.ENSRNOP00000071243, Tetraodon_nigroviridis.ENSTNIP00000011235, Canis_familiaris.ENSCAFP00000049493, Gallus_gallus.ENSGALP00000045617, Canis_familiaris.ENSCAFP00000052574, Rattus_norvegicus.ENSRNOP00000074727, Pan_troglodytes.ENSPTRP00000077042, Canis_familiaris.ENSCAFP00000042906, Drosophila_melanogaster.FBpp0293236, Canis_familiaris.ENSCAFP00000066322, Pan_troglodytes.ENSPTRP00000002306, Danio_rerio.ENSDARP00000140190, Mus_musculus.ENSMUSP00000120518, Pan_troglodytes.ENSPTRP00000081657, Danio_rerio.ENSDARP00000072300, Pan_troglodytes.ENSPTRP00000055354, Homo_sapiens.ENSP00000499044, Pan_troglodytes.ENSPTRP00000082703
RefOG037	11	34	3.0909	0.1693	21	1060	841	950	0.1554	0.9057	11.1757	Tetraodon_nigroviridis.ENSTNIP00000018477, Drosophila_melanogaster.FBpp0112980, Mus_musculus.ENSMUSP00000003659, Canis_familiaris.ENSCAFP00000025076, Rattus_norvegicus.ENSRNOP00000071047, Homo_sapiens.ENSP00000357362, Pan_troglodytes.ENSPTRP00000002388, Rattus_norvegicus.ENSRNOP00000074259, Mus_musculus.ENSMUSP00000022213, Monodelphis_domestica.ENSMODP00000004469, Danio_rerio.ENSDARP00000129945, Ciona_intestinalis.ENSCINP00000005599, Tetraodon_nigroviridis.ENSTNIP00000003343, Tetraodon_nigroviridis.ENSTNIP00000000263, Homo_sapiens.ENSP00000339730, Danio_rerio.ENSDARP00000057304, Pan_troglodytes.ENSPTRP00000029161, Pan_troglodytes.ENSPTRP00000057441, Danio_rerio.ENSDARP00000093348, Danio_rerio.ENSDARP00000142363, Mus_musculus.ENSMUSP00000029682, Gallus_gallus.ENSGALP00000005183, Canis_familiaris.ENSCAFP00000055935, Tetraodon_nigroviridis.ENSTNIP00000012955, Tetraodon_nigroviridis.ENSTNIP00000023097, Danio_rerio.ENSDARP00000132464, Rattus_norvegicus.ENSRNOP00000067037, Monodelphis_domestica.ENSMODP00000024590, Monodelphis_domestica.ENSMODP00000058400, Tetraodon_nigroviridis.ENSTNIP00000017286, Canis_familiaris.ENSCAFP00000053810, Homo_sapiens.ENSP00000222271, Gallus_gallus.ENSGALP00000023854, Ciona_intestinalis.ENSCINP00000017560
RefOG046	11	32	2.9091	0.0956	57	113	86	92	0.0000	1.8070	5.9279	Canis_familiaris.ENSCAFP00000061445, Rattus_norvegicus.ENSRNOP00000004303, Danio_rerio.ENSDARP00000149337, Monodelphis_domestica.ENSMODP00000059229, Canis_familiaris.ENSCAFP00000043258, Monodelphis_domestica.ENSMODP00000037042, Canis_familiaris.ENSCAFP00000058366, Tetraodon_nigroviridis.ENSTNIP00000010730, Caenorhabditis_elegans.WBGene00004456.1, Canis_familiaris.ENSCAFP00000034989, Ciona_intestinalis.ENSCINP00000024072, Pan_troglodytes.ENSPTRP00000093619, Monodelphis_domestica.ENSMODP00000042208, Rattus_norvegicus.ENSRNOP00000042454, Canis_familiaris.ENSCAFP00000037138, Monodelphis_domestica.ENSMODP00000058728, Canis_familiaris.ENSCAFP00000066500, Canis_familiaris.ENSCAFP00000055696, Monodelphis_domestica.ENSMODP00000056480, Canis_familiaris.ENSCAFP00000047743, Monodelphis_domestica.ENSMODP00000049610, Rattus_norvegicus.ENSRNOP00000033369, Pan_troglodytes.ENSPTRP00000093378, Homo_sapiens.ENSP00000418082, Canis_familiaris.ENSCAFP00000052309, Pan_troglodytes.ENSPTRP00000088767, Mus_musculus.ENSMUSP00000058919, Canis_familiaris.ENSCAFP00000056019, Rattus_norvegicus.ENSRNOP00000047513, Canis_familiaris.ENSCAFP00000052086, Canis_familiaris.ENSCAFP00000065560, Drosophila_melanogaster.FBpp0078655
RefOG016	11	25	2.2727	0.1582	458	1257	673	648	0.0895	1.2088	7.5937	Canis_familiaris.ENSCAFP00000061863, Mus_musculus.ENSMUSP00000099162, Rattus_norvegicus.ENSRNOP00000026032, Gallus_gallus.ENSGALP00000011249, Danio_rerio.ENSDARP00000132730, Homo_sapiens.ENSP00000409717, Canis_familiaris.ENSCAFP00000018366, Danio_rerio.ENSDARP00000021697, Ciona_intestinalis.ENSCINP00000005959, Monodelphis_domestica.ENSMODP00000012063, Monodelphis_domestica.ENSMODP00000017313, Pan_troglodytes.ENSPTRP00000092352, Tetraodon_nigroviridis.ENSTNIP00000018947, Drosophila_melanogaster.FBpp0073493, Rattus_norvegicus.ENSRNOP00000001996, Danio_rerio.ENSDARP00000087617, Tetraodon_nigroviridis.ENSTNIP00000007193, Tetraodon_nigroviridis.ENSTNIP00000005896, Pan_troglodytes.ENSPTRP00000079435, Tetraodon_nigroviridis.ENSTNIP00000008535, Gallus_gallus.ENSGALP00000039786, Pan_troglodytes.ENSPTRP00000049722, Tetraodon_nigroviridis.ENSTNIP00000007192, Mus_musculus.ENSMUSP00000015137, Homo_sapiens.ENSP00000339916
RefOG014	11	24	2.1818	0.278	48	2632	1075	768	0.0000	2.2390	12.7900	Monodelphis_domestica.ENSMODP00000042752, Monodelphis_domestica.ENSMODP00000028971, Monodelphis_domestica.ENSMODP00000042543, Tetraodon_nigroviridis.ENSTNIP00000017251, Pan_troglodytes.ENSPTRP00000092836, Tetraodon_nigroviridis.ENSTNIP00000002473, Canis_familiaris.ENSCAFP00000015918, Gallus_gallus.ENSGALP00000065840, Mus_musculus.ENSMUSP00000088254, Drosophila_melanogaster.FBpp0301625, Danio_rerio.ENSDARP00000118732, Tetraodon_nigroviridis.ENSTNIP00000018365, Rattus_norvegicus.ENSRNOP00000072921, Canis_familiaris.ENSCAFP00000038345, Gallus_gallus.ENSGALP00000072279, Canis_familiaris.ENSCAFP00000037424, Pan_troglodytes.ENSPTRP00000074147, Homo_sapiens.ENSP00000462316, Pan_troglodytes.ENSPTRP00000076194, Ciona_intestinalis.ENSCINP00000022631, Gallus_gallus.ENSGALP00000073167, Gallus_gallus.ENSGALP00000055818, Pan_troglodytes.ENSPTRP00000073455, Pan_troglodytes.ENSPTRP00000091776
RefOG028	11	24	2.1818	0.2536	292	1223	668	684	0.0334	1.1218	11.6673	Danio_rerio.ENSDARP00000056521, Tetraodon_nigroviridis.ENSTNIP00000017957, Monodelphis_domestica.ENSMODP00000035037, Rattus_norvegicus.ENSRNOP00000013191, Rattus_norvegicus.ENSRNOP00000073651, Canis_familiaris.ENSCAFP00000054560, Pan_troglodytes.ENSPTRP00000000080, Gallus_gallus.ENSGALP00000055794, Tetraodon_nigroviridis.ENSTNIP00000001293, Homo_sapiens.ENSP00000367797, Tetraodon_nigroviridis.ENSTNIP00000007613, Mus_musculus.ENSMUSP00000030917, Ciona_intestinalis.ENSCINP00000000131, Danio_rerio.ENSDARP00000105507, Mus_musculus.ENSMUSP00000112413, Pan_troglodytes.ENSPTRP00000070313, Monodelphis_domestica.ENSMODP00000026148, Homo_sapiens.ENSP00000259119, Danio_rerio.ENSDARP00000091440, Drosophila_melanogaster.FBpp0111630, Gallus_gallus.ENSGALP00000001862, Tetraodon_nigroviridis.ENSTNIP00000017814, Canis_familiaris.ENSCAFP00000028655, Danio_rerio.ENSDARP00000094325
RefOG022	11	23	2.0909	0.0964	96	712	452	456	0.1638	1.8865	4.2410	Monodelphis_domestica.ENSMODP00000010015, Ciona_intestinalis.ENSCINP00000027906, Rattus_norvegicus.ENSRNOP00000026187, Tetraodon_nigroviridis.ENSTNIP00000006319, Canis_familiaris.ENSCAFP00000007467, Rattus_norvegicus.ENSRNOP00000017240, Danio_rerio.ENSDARP00000017572, Gallus_gallus.ENSGALP00000068882, Homo_sapiens.ENSP00000345681, Drosophila_melanogaster.FBpp0303221, Canis_familiaris.ENSCAFP00000006152, Mus_musculus.ENSMUSP00000100041, Homo_sapiens.ENSP00000368632, Gallus_gallus.ENSGALP00000030109, Danio_rerio.ENSDARP00000120165, Monodelphis_domestica.ENSMODP00000020895, Danio_rerio.ENSDARP00000076855, Tetraodon_nigroviridis.ENSTNIP00000022954, Tetraodon_nigroviridis.ENSTNIP00000017630, Pan_troglodytes.ENSPTRP00000064658, Pan_troglodytes.ENSPTRP00000054198, Tetraodon_nigroviridis.ENSTNIP00000014051, Mus_musculus.ENSMUSP00000128198
RefOG027	11	20	1.8182	0.1783	290	674	383	372	0.0000	1.0259	6.7742	Tetraodon_nigroviridis.ENSTNIP00000022142, Pan_troglodytes.ENSPTRP00000021817, Pan_troglodytes.ENSPTRP00000032664, Canis_familiaris.ENSCAFP00000005183, Ciona_intestinalis.ENSCINP00000027245, Danio_rerio.ENSDARP00000010065, Tetraodon_nigroviridis.ENSTNIP00000014654, Monodelphis_domestica.ENSMODP00000015177, Drosophila_melanogaster.FBpp0309256, Gallus_gallus.ENSGALP00000066262, Danio_rerio.ENSDARP00000152543, Homo_sapiens.ENSP00000263955, Gallus_gallus.ENSGALP00000056836, Canis_familiaris.ENSCAFP00000015677, Tetraodon_nigroviridis.ENSTNIP00000021009, Mus_musculus.ENSMUSP00000027263, Rattus_norvegicus.ENSRNOP00000016857, Danio_rerio.ENSDARP00000005376, Danio_rerio.ENSDARP00000067763, Homo_sapiens.ENSP00000319192
RefOG039	11	20	1.8182	0.179	783	5637	4445	5156	0.0569	1.6354	6.8019	Canis_familiaris.ENSCAFP00000029555, Ciona_intestinalis.ENSCINP00000015858, Homo_sapiens.ENSP00000485357, Gallus_gallus.ENSGALP00000057876, Monodelphis_domestica.ENSMODP00000014447, Tetraodon_nigroviridis.ENSTNIP00000016408, Pan_troglodytes.ENSPTRP00000036731, Tetraodon_nigroviridis.ENSTNIP00000016407, Rattus_norvegicus.ENSRNOP00000033710, Mus_musculus.ENSMUSP00000109160, Caenorhabditis_elegans.WBGene00001863.1, Mus_musculus.ENSMUSP00000074340, Canis_familiaris.ENSCAFP00000020141, Danio_rerio.ENSDARP00000109565, Monodelphis_domestica.ENSMODP00000015084, Danio_rerio.ENSDARP00000102597, Tetraodon_nigroviridis.ENSTNIP00000021286, Homo_sapiens.ENSP00000271588, Danio_rerio.ENSDARP00000005919, Pan_troglodytes.ENSPTRP00000002974
RefOG002	11	19	1.7273	0.3516	159	16223	2451	2095	0.0025	3.4472	12.6582	Pan_troglodytes.ENSPTRP00000034690, Pan_troglodytes.ENSPTRP00000092368, Drosophila_melanogaster.FBpp0073985, Danio_rerio.ENSDARP00000127535, Rattus_norvegicus.ENSRNOP00000040735, Tetraodon_nigroviridis.ENSTNIP00000005583, Homo_sapiens.ENSP00000220676, Rattus_norvegicus.ENSRNOP00000064085, Danio_rerio.ENSDARP00000114695, Danio_rerio.ENSDARP00000126512, Monodelphis_domestica.ENSMODP00000040561, Tetraodon_nigroviridis.ENSTNIP00000020265, Canis_familiaris.ENSCAFP00000010380, Gallus_gallus.ENSGALP00000064978, Mus_musculus.ENSMUSP00000055449, Homo_sapiens.ENSP00000371923, Caenorhabditis_elegans.WBGene00017860.1, Tetraodon_nigroviridis.ENSTNIP00000021812, Mus_musculus.ENSMUSP00000027032
RefOG044	11	14	1.2727	0.1622	109	681	534	600	0.1296	1.6495	4.2183	Danio_rerio.ENSDARP00000108900, Mus_musculus.ENSMUSP00000003620, Mus_musculus.ENSMUSP00000149861, Danio_rerio.ENSDARP00000085764, Drosophila_melanogaster.FBpp0076904, Canis_familiaris.ENSCAFP00000059509, Pan_troglodytes.ENSPTRP00000078153, Homo_sapiens.ENSP00000481127, Tetraodon_nigroviridis.ENSTNIP00000011923, Caenorhabditis_elegans.WBGene00007197.1, Gallus_gallus.ENSGALP00000012517, Rattus_norvegicus.ENSRNOP00000002576, Monodelphis_domestica.ENSMODP00000046488, Homo_sapiens.ENSP00000349577
RefOG019	11	13	1.1818	0.0118	92	111	109	110	0.0000	1.7084	0.2836	Pan_troglodytes.ENSPTRP00000024852, Danio_rerio.ENSDARP00000066396, Homo_sapiens.ENSP00000216252, Monodelphis_domestica.ENSMODP00000020665, Rattus_norvegicus.ENSRNOP00000005837, Drosophila_melanogaster.FBpp0078894, Caenorhabditis_elegans.WBGene00004016.1, Pan_troglodytes.ENSPTRP00000067637, Mus_musculus.ENSMUSP00000023117, Danio_rerio.ENSDARP00000146398, Tetraodon_nigroviridis.ENSTNIP00000015919, Canis_familiaris.ENSCAFP00000001529, Gallus_gallus.ENSGALP00000019471
RefOG029	11	13	1.1818	0.2077	175	367	307	347	0.0000	0.8793	4.9844	Tetraodon_nigroviridis.ENSTNIP00000006899, Canis_familiaris.ENSCAFP00000021066, Homo_sapiens.ENSP00000397259, Mus_musculus.ENSMUSP00000102750, Danio_rerio.ENSDARP00000094893, Pan_troglodytes.ENSPTRP00000069746, Gallus_gallus.ENSGALP00000045426, Monodelphis_domestica.ENSMODP00000014717, Rattus_norvegicus.ENSRNOP00000028407, Danio_rerio.ENSDARP00000126649, Tetraodon_nigroviridis.ENSTNIP00000022109, Drosophila_melanogaster.FBpp0112092, Ciona_intestinalis.ENSCINP00000000728
RefOG025	11	13	1.1818	0.1174	195	486	441	470	0.0000	1.0823	2.8187	Drosophila_melanogaster.FBpp0077119, Rattus_norvegicus.ENSRNOP00000018468, Tetraodon_nigroviridis.ENSTNIP00000019321, Danio_rerio.ENSDARP00000156311, Danio_rerio.ENSDARP00000056877, Homo_sapiens.ENSP00000262395, Canis_familiaris.ENSCAFP00000027741, Gallus_gallus.ENSGALP00000006340, Pan_troglodytes.ENSPTRP00000015252, Mus_musculus.ENSMUSP00000017530, Ciona_intestinalis.ENSCINP00000008928, Monodelphis_domestica.ENSMODP00000024090, Danio_rerio.ENSDARP00000013849
RefOG053	11	13	1.1818	0.3944	410	1262	894	893	0.0000	1.1814	9.4657	Drosophila_melanogaster.FBpp0297348, Danio_rerio.ENSDARP00000106371, Tetraodon_nigroviridis.ENSTNIP00000007942, Monodelphis_domestica.ENSMODP00000048755, Rattus_norvegicus.ENSRNOP00000026327, Mus_musculus.ENSMUSP00000142109, Gallus_gallus.ENSGALP00000051570, Canis_familiaris.ENSCAFP00000016488, Homo_sapiens.ENSP00000312435, Pan_troglodytes.ENSPTRP00000025763, Ciona_intestinalis.ENSCINP00000018986, Tetraodon_nigroviridis.ENSTNIP00000021045, Gallus_gallus.ENSGALP00000073380
RefOG004	11	12	1.0909	0.1224	192	375	237	214	0.0000	1.1378	2.6937	Danio_rerio.ENSDARP00000149121, Ciona_intestinalis.ENSCINP00000010262, Danio_rerio.ENSDARP00000110254, Mus_musculus.ENSMUSP00000025631, Caenorhabditis_elegans.WBGene00013724.1, Pan_troglodytes.ENSPTRP00000079818, Gallus_gallus.ENSGALP00000028084, Tetraodon_nigroviridis.ENSTNIP00000019800, Homo_sapiens.ENSP00000340836, Rattus_norvegicus.ENSRNOP00000016871, Monodelphis_domestica.ENSMODP00000002384, Canis_familiaris.ENSCAFP00000048558
RefOG042	11	11	1.0	0.2508	157	312	212	200	0.1001	2.2296	5.0151	Drosophila_melanogaster.FBpp0081772, Rattus_norvegicus.ENSRNOP00000061871, Danio_rerio.ENSDARP00000122154, Canis_familiaris.ENSCAFP00000047494, Tetraodon_nigroviridis.ENSTNIP00000010028, Gallus_gallus.ENSGALP00000065695, Pan_troglodytes.ENSPTRP00000039163, Homo_sapiens.ENSP00000347324, Mus_musculus.ENSMUSP00000089781, Monodelphis_domestica.ENSMODP00000043783, Ciona_intestinalis.ENSCINP00000024927
RefOG062	11	11	1.0	0.3696	524	634	613	627	0.0250	0.7283	7.3910	Monodelphis_domestica.ENSMODP00000025799, Mus_musculus.ENSMUSP00000029651, Rattus_norvegicus.ENSRNOP00000073658, Tetraodon_nigroviridis.ENSTNIP00000021197, Danio_rerio.ENSDARP00000116055, Homo_sapiens.ENSP00000422354, Canis_familiaris.ENSCAFP00000016075, Gallus_gallus.ENSGALP00000017187, Pan_troglodytes.ENSPTRP00000045717, Drosophila_melanogaster.FBpp0080676, Ciona_intestinalis.ENSCINP00000002909
