RefOGs	num_species	num_genes	min_length	max_length	mean_length	median_length	Orthogroups
RefOG035	9	32	145	2327	1995	2261	Tetraodon_nigroviridis.ENSTNIP00000011588, Tetraodon_nigroviridis.ENSTNIP00000014255, Danio_rerio.ENSDARP00000143169, Tetraodon_nigroviridis.ENSTNIP00000009116, Canis_familiaris.ENSCAFP00000052429, Gallus_gallus.ENSGALP00000024845, Tetraodon_nigroviridis.ENSTNIP00000009502, Danio_rerio.ENSDARP00000103740, Tetraodon_nigroviridis.ENSTNIP00000001889, Monodelphis_domestica.ENSMODP00000005823, Pan_troglodytes.ENSPTRP00000063044, Danio_rerio.ENSDARP00000113256, Danio_rerio.ENSDARP00000051555, Gallus_gallus.ENSGALP00000047036, Homo_sapiens.ENSP00000359245, Monodelphis_domestica.ENSMODP00000020336, Canis_familiaris.ENSCAFP00000029034, Pan_troglodytes.ENSPTRP00000062840, Mus_musculus.ENSMUSP00000030010, Gallus_gallus.ENSGALP00000009224, Mus_musculus.ENSMUSP00000013995, Danio_rerio.ENSDARP00000132417, Mus_musculus.ENSMUSP00000128121, Rattus_norvegicus.ENSRNOP00000017878, Homo_sapiens.ENSP00000263094, Rattus_norvegicus.ENSRNOP00000063805, Canis_familiaris.ENSCAFP00000004971, Homo_sapiens.ENSP00000363868, Danio_rerio.ENSDARP00000123162, Tetraodon_nigroviridis.ENSTNIP00000017917, Rattus_norvegicus.ENSRNOP00000024564, Pan_troglodytes.ENSPTRP00000062700
RefOG026	12	43	382	1157	816	809	Danio_rerio.ENSDARP00000143805, Canis_familiaris.ENSCAFP00000048068, Pan_troglodytes.ENSPTRP00000089151, Danio_rerio.ENSDARP00000124761, Gallus_gallus.ENSGALP00000001710, Monodelphis_domestica.ENSMODP00000010602, Drosophila_melanogaster.FBpp0075520, Pan_troglodytes.ENSPTRP00000030013, Rattus_norvegicus.ENSRNOP00000072062, Ciona_intestinalis.ENSCINP00000001598, Homo_sapiens.ENSP00000339824, Tetraodon_nigroviridis.ENSTNIP00000002998, Monodelphis_domestica.ENSMODP00000043120, Gallus_gallus.ENSGALP00000046610, Homo_sapiens.ENSP00000410294, Pan_troglodytes.ENSPTRP00000065828, Mus_musculus.ENSMUSP00000136640, Mus_musculus.ENSMUSP00000005452, Canis_familiaris.ENSCAFP00000061374, Mus_musculus.ENSMUSP00000112430, Monodelphis_domestica.ENSMODP00000050992, Danio_rerio.ENSDARP00000069743, Caenorhabditis_elegans.WBGene00001184.1, Tetraodon_nigroviridis.ENSTNIP00000016596, Danio_rerio.ENSDARP00000013742, Gallus_gallus.ENSGALP00000045192, Danio_rerio.ENSDARP00000127500, Rattus_norvegicus.ENSRNOP00000043459, Canis_familiaris.ENSCAFP00000009012, Gallus_gallus.ENSGALP00000025286, Drosophila_melanogaster.FBpp0082970, Homo_sapiens.ENSP00000292408, Canis_familiaris.ENSCAFP00000024307, Rattus_norvegicus.ENSRNOP00000059005, Homo_sapiens.ENSP00000393312, Mus_musculus.ENSMUSP00000110053, Tetraodon_nigroviridis.ENSTNIP00000022035, Tetraodon_nigroviridis.ENSTNIP00000010448, Rattus_norvegicus.ENSRNOP00000050988, Danio_rerio.ENSDARP00000011898, Monodelphis_domestica.ENSMODP00000013335, Pan_troglodytes.ENSPTRP00000005308, Tetraodon_nigroviridis.ENSTNIP00000016409
RefOG045	12	13	298	809	678	735	Ciona_intestinalis.ENSCINP00000018749, Caenorhabditis_elegans.WBGene00000991.1, Homo_sapiens.ENSP00000411960, Mus_musculus.ENSMUSP00000025385, Monodelphis_domestica.ENSMODP00000016942, Rattus_norvegicus.ENSRNOP00000070792, Canis_familiaris.ENSCAFP00000055260, Tetraodon_nigroviridis.ENSTNIP00000019803, Caenorhabditis_elegans.WBGene00017123.1, Pan_troglodytes.ENSPTRP00000063555, Danio_rerio.ENSDARP00000136011, Gallus_gallus.ENSGALP00000003418, Drosophila_melanogaster.FBpp0073988
RefOG064	12	15	155	949	471	431	Canis_familiaris.ENSCAFP00000000734, Ciona_intestinalis.ENSCINP00000001689, Caenorhabditis_elegans.WBGene00008934.1, Homo_sapiens.ENSP00000341324, Monodelphis_domestica.ENSMODP00000038097, Pan_troglodytes.ENSPTRP00000029375, Rattus_norvegicus.ENSRNOP00000020030, Drosophila_melanogaster.FBpp0087322, Drosophila_melanogaster.FBpp0081540, Mus_musculus.ENSMUSP00000025406, Gallus_gallus.ENSGALP00000008505, Ciona_intestinalis.ENSCINP00000033523, Caenorhabditis_elegans.WBGene00010139.1, Tetraodon_nigroviridis.ENSTNIP00000012132, Danio_rerio.ENSDARP00000098626
RefOG048	11	40	78	1247	153	84	Pan_troglodytes.ENSPTRP00000077042, Canis_familiaris.ENSCAFP00000052574, Pan_troglodytes.ENSPTRP00000069586, Mus_musculus.ENSMUSP00000132102, Gallus_gallus.ENSGALP00000045617, Canis_familiaris.ENSCAFP00000042906, Rattus_norvegicus.ENSRNOP00000022897, Rattus_norvegicus.ENSRNOP00000073014, Homo_sapiens.ENSP00000453764, Canis_familiaris.ENSCAFP00000065740, Monodelphis_domestica.ENSMODP00000021571, Gallus_gallus.ENSGALP00000065928, Tetraodon_nigroviridis.ENSTNIP00000021486, Drosophila_melanogaster.FBpp0293236, Rattus_norvegicus.ENSRNOP00000074727, Pan_troglodytes.ENSPTRP00000075709, Homo_sapiens.ENSP00000499044, Pan_troglodytes.ENSPTRP00000091617, Pan_troglodytes.ENSPTRP00000055354, Danio_rerio.ENSDARP00000072300, Rattus_norvegicus.ENSRNOP00000068335, Rattus_norvegicus.ENSRNOP00000033162, Canis_familiaris.ENSCAFP00000036474, Pan_troglodytes.ENSPTRP00000082703, Danio_rerio.ENSDARP00000140190, Tetraodon_nigroviridis.ENSTNIP00000011235, Pan_troglodytes.ENSPTRP00000066134, Mus_musculus.ENSMUSP00000060523, Pan_troglodytes.ENSPTRP00000081657, Monodelphis_domestica.ENSMODP00000053445, Mus_musculus.ENSMUSP00000120518, Pan_troglodytes.ENSPTRP00000002306, Canis_familiaris.ENSCAFP00000066322, Rattus_norvegicus.ENSRNOP00000071243, Canis_familiaris.ENSCAFP00000049493, Pan_troglodytes.ENSPTRP00000092483, Danio_rerio.ENSDARP00000029079, Rattus_norvegicus.ENSRNOP00000066362, Caenorhabditis_elegans.WBGene00004496.1, Canis_familiaris.ENSCAFP00000059444
RefOG002	11	19	159	16223	2451	2095	Gallus_gallus.ENSGALP00000064978, Danio_rerio.ENSDARP00000127535, Drosophila_melanogaster.FBpp0073985, Canis_familiaris.ENSCAFP00000010380, Tetraodon_nigroviridis.ENSTNIP00000005583, Monodelphis_domestica.ENSMODP00000040561, Danio_rerio.ENSDARP00000126512, Mus_musculus.ENSMUSP00000055449, Caenorhabditis_elegans.WBGene00017860.1, Tetraodon_nigroviridis.ENSTNIP00000020265, Tetraodon_nigroviridis.ENSTNIP00000021812, Danio_rerio.ENSDARP00000114695, Rattus_norvegicus.ENSRNOP00000040735, Rattus_norvegicus.ENSRNOP00000064085, Homo_sapiens.ENSP00000220676, Pan_troglodytes.ENSPTRP00000092368, Pan_troglodytes.ENSPTRP00000034690, Homo_sapiens.ENSP00000371923, Mus_musculus.ENSMUSP00000027032
RefOG038	9	9	1459	2219	2129	2214	Danio_rerio.ENSDARP00000129655, Mus_musculus.ENSMUSP00000058613, Canis_familiaris.ENSCAFP00000017344, Monodelphis_domestica.ENSMODP00000016287, Pan_troglodytes.ENSPTRP00000007532, Tetraodon_nigroviridis.ENSTNIP00000017394, Ciona_intestinalis.ENSCINP00000024362, Homo_sapiens.ENSP00000260197, Gallus_gallus.ENSGALP00000046461
RefOG032	12	14	481	648	598	602	Homo_sapiens.ENSP00000478721, Tetraodon_nigroviridis.ENSTNIP00000021849, Caenorhabditis_elegans.WBGene00003007.1, Ciona_intestinalis.ENSCINP00000018455, Canis_familiaris.ENSCAFP00000052117, Mus_musculus.ENSMUSP00000135858, Monodelphis_domestica.ENSMODP00000023074, Rattus_norvegicus.ENSRNOP00000063141, Drosophila_melanogaster.FBpp0080765, Drosophila_melanogaster.FBpp0303242, Pan_troglodytes.ENSPTRP00000026572, Danio_rerio.ENSDARP00000106622, Gallus_gallus.ENSGALP00000010474, Drosophila_melanogaster.FBpp0308795
RefOG063	10	21	69	394	122	105	Danio_rerio.ENSDARP00000108683, Danio_rerio.ENSDARP00000152992, Mus_musculus.ENSMUSP00000060617, Tetraodon_nigroviridis.ENSTNIP00000010162, Danio_rerio.ENSDARP00000103772, Drosophila_melanogaster.FBpp0072926, Tetraodon_nigroviridis.ENSTNIP00000018181, Monodelphis_domestica.ENSMODP00000057432, Canis_familiaris.ENSCAFP00000029286, Tetraodon_nigroviridis.ENSTNIP00000006119, Homo_sapiens.ENSP00000271331, Rattus_norvegicus.ENSRNOP00000024519, Pan_troglodytes.ENSPTRP00000001873, Gallus_gallus.ENSGALP00000069911, Gallus_gallus.ENSGALP00000012612, Rattus_norvegicus.ENSRNOP00000015058, Homo_sapiens.ENSP00000295619, Mus_musculus.ENSMUSP00000032152, Pan_troglodytes.ENSPTRP00000072428, Monodelphis_domestica.ENSMODP00000056064, Canis_familiaris.ENSCAFP00000047793
RefOG012	12	46	1310	2034	1751	1721	Danio_rerio.ENSDARP00000151529, Monodelphis_domestica.ENSMODP00000056536, Mus_musculus.ENSMUSP00000099513, Caenorhabditis_elegans.WBGene00001651.1, Homo_sapiens.ENSP00000480586, Ciona_intestinalis.ENSCINP00000035323, Homo_sapiens.ENSP00000495860, Danio_rerio.ENSDARP00000145809, Homo_sapiens.ENSP00000354006, Homo_sapiens.ENSP00000437849, Pan_troglodytes.ENSPTRP00000090282, Mus_musculus.ENSMUSP00000037443, Danio_rerio.ENSDARP00000157514, Homo_sapiens.ENSP00000350140, Pan_troglodytes.ENSPTRP00000065010, Tetraodon_nigroviridis.ENSTNIP00000000145, Monodelphis_domestica.ENSMODP00000060432, Danio_rerio.ENSDARP00000132448, Gallus_gallus.ENSGALP00000037979, Mus_musculus.ENSMUSP00000146226, Gallus_gallus.ENSGALP00000024411, Rattus_norvegicus.ENSRNOP00000021262, Canis_familiaris.ENSCAFP00000022528, Canis_familiaris.ENSCAFP00000057849, Mus_musculus.ENSMUSP00000158045, Pan_troglodytes.ENSPTRP00000088270, Danio_rerio.ENSDARP00000052583, Caenorhabditis_elegans.WBGene00001796.1, Rattus_norvegicus.ENSRNOP00000018521, Pan_troglodytes.ENSPTRP00000012085, Danio_rerio.ENSDARP00000123466, Monodelphis_domestica.ENSMODP00000046838, Tetraodon_nigroviridis.ENSTNIP00000011233, Gallus_gallus.ENSGALP00000049900, Rattus_norvegicus.ENSRNOP00000017892, Rattus_norvegicus.ENSRNOP00000070727, Tetraodon_nigroviridis.ENSTNIP00000006495, Canis_familiaris.ENSCAFP00000002558, Drosophila_melanogaster.FBpp0308223, Tetraodon_nigroviridis.ENSTNIP00000002557, Canis_familiaris.ENSCAFP00000035825, Tetraodon_nigroviridis.ENSTNIP00000013119, Caenorhabditis_elegans.WBGene00001795.1, Gallus_gallus.ENSGALP00000006104, Danio_rerio.ENSDARP00000133282, Monodelphis_domestica.ENSMODP00000002675
RefOG041	12	17	153	196	179	178	Drosophila_melanogaster.FBpp0085717, Ciona_intestinalis.ENSCINP00000006833, Danio_rerio.ENSDARP00000063869, Caenorhabditis_elegans.WBGene00004422.1, Canis_familiaris.ENSCAFP00000051517, Caenorhabditis_elegans.WBGene00004423.1, Canis_familiaris.ENSCAFP00000031345, Monodelphis_domestica.ENSMODP00000044088, Canis_familiaris.ENSCAFP00000046142, Tetraodon_nigroviridis.ENSTNIP00000005169, Gallus_gallus.ENSGALP00000047166, Pan_troglodytes.ENSPTRP00000089839, Mus_musculus.ENSMUSP00000099595, Homo_sapiens.ENSP00000496250, Rattus_norvegicus.ENSRNOP00000005511, Rattus_norvegicus.ENSRNOP00000072829, Pan_troglodytes.ENSPTRP00000091393
RefOG019	11	13	92	111	109	110	Gallus_gallus.ENSGALP00000019471, Canis_familiaris.ENSCAFP00000001529, Pan_troglodytes.ENSPTRP00000067637, Homo_sapiens.ENSP00000216252, Drosophila_melanogaster.FBpp0078894, Monodelphis_domestica.ENSMODP00000020665, Tetraodon_nigroviridis.ENSTNIP00000015919, Caenorhabditis_elegans.WBGene00004016.1, Danio_rerio.ENSDARP00000146398, Pan_troglodytes.ENSPTRP00000024852, Danio_rerio.ENSDARP00000066396, Rattus_norvegicus.ENSRNOP00000005837, Mus_musculus.ENSMUSP00000023117
RefOG005	12	34	994	1908	1737	1826	Danio_rerio.ENSDARP00000083467, Tetraodon_nigroviridis.ENSTNIP00000013541, Canis_familiaris.ENSCAFP00000050462, Rattus_norvegicus.ENSRNOP00000073223, Monodelphis_domestica.ENSMODP00000002338, Danio_rerio.ENSDARP00000139984, Danio_rerio.ENSDARP00000123905, Rattus_norvegicus.ENSRNOP00000011768, Pan_troglodytes.ENSPTRP00000017028, Pan_troglodytes.ENSPTRP00000012111, Gallus_gallus.ENSGALP00000053885, Homo_sapiens.ENSP00000261839, Caenorhabditis_elegans.WBGene00002036.1, Mus_musculus.ENSMUSP00000042229, Pan_troglodytes.ENSPTRP00000079651, Danio_rerio.ENSDARP00000138582, Drosophila_melanogaster.FBpp0088684, Gallus_gallus.ENSGALP00000021156, Mus_musculus.ENSMUSP00000112728, Homo_sapiens.ENSP00000382177, Gallus_gallus.ENSGALP00000049670, Rattus_norvegicus.ENSRNOP00000072468, Tetraodon_nigroviridis.ENSTNIP00000016708, Monodelphis_domestica.ENSMODP00000033779, Tetraodon_nigroviridis.ENSTNIP00000000264, Ciona_intestinalis.ENSCINP00000004338, Monodelphis_domestica.ENSMODP00000004596, Tetraodon_nigroviridis.ENSTNIP00000003753, Danio_rerio.ENSDARP00000156302, Canis_familiaris.ENSCAFP00000047066, Danio_rerio.ENSDARP00000114041, Tetraodon_nigroviridis.ENSTNIP00000013132, Mus_musculus.ENSMUSP00000117493, Homo_sapiens.ENSP00000285039
RefOG017	10	29	189	2066	1847	1881	Monodelphis_domestica.ENSMODP00000019696, Rattus_norvegicus.ENSRNOP00000074490, Tetraodon_nigroviridis.ENSTNIP00000018720, Mus_musculus.ENSMUSP00000155337, Mus_musculus.ENSMUSP00000105240, Pan_troglodytes.ENSPTRP00000065303, Canis_familiaris.ENSCAFP00000041313, Monodelphis_domestica.ENSMODP00000002121, Rattus_norvegicus.ENSRNOP00000032894, Monodelphis_domestica.ENSMODP00000034167, Danio_rerio.ENSDARP00000141147, Rattus_norvegicus.ENSRNOP00000026451, Tetraodon_nigroviridis.ENSTNIP00000015252, Homo_sapiens.ENSP00000272371, Tetraodon_nigroviridis.ENSTNIP00000006548, Danio_rerio.ENSDARP00000007932, Canis_familiaris.ENSCAFP00000012034, Gallus_gallus.ENSGALP00000026707, Canis_familiaris.ENSCAFP00000006614, Danio_rerio.ENSDARP00000056104, Tetraodon_nigroviridis.ENSTNIP00000022495, Mus_musculus.ENSMUSP00000125718, Ciona_intestinalis.ENSCINP00000010575, Gallus_gallus.ENSGALP00000050711, Pan_troglodytes.ENSPTRP00000090674, Danio_rerio.ENSDARP00000123935, Homo_sapiens.ENSP00000428280, Pan_troglodytes.ENSPTRP00000067285, Mus_musculus.ENSMUSP00000073803
RefOG028	11	24	292	1223	668	684	Gallus_gallus.ENSGALP00000055794, Canis_familiaris.ENSCAFP00000054560, Monodelphis_domestica.ENSMODP00000026148, Rattus_norvegicus.ENSRNOP00000013191, Homo_sapiens.ENSP00000367797, Pan_troglodytes.ENSPTRP00000070313, Canis_familiaris.ENSCAFP00000028655, Tetraodon_nigroviridis.ENSTNIP00000007613, Danio_rerio.ENSDARP00000091440, Danio_rerio.ENSDARP00000056521, Tetraodon_nigroviridis.ENSTNIP00000017814, Gallus_gallus.ENSGALP00000001862, Monodelphis_domestica.ENSMODP00000035037, Mus_musculus.ENSMUSP00000112413, Mus_musculus.ENSMUSP00000030917, Danio_rerio.ENSDARP00000094325, Tetraodon_nigroviridis.ENSTNIP00000017957, Ciona_intestinalis.ENSCINP00000000131, Homo_sapiens.ENSP00000259119, Rattus_norvegicus.ENSRNOP00000073651, Danio_rerio.ENSDARP00000105507, Pan_troglodytes.ENSPTRP00000000080, Tetraodon_nigroviridis.ENSTNIP00000001293, Drosophila_melanogaster.FBpp0111630
RefOG025	11	13	195	486	441	470	Pan_troglodytes.ENSPTRP00000015252, Mus_musculus.ENSMUSP00000017530, Rattus_norvegicus.ENSRNOP00000018468, Gallus_gallus.ENSGALP00000006340, Canis_familiaris.ENSCAFP00000027741, Monodelphis_domestica.ENSMODP00000024090, Drosophila_melanogaster.FBpp0077119, Danio_rerio.ENSDARP00000056877, Danio_rerio.ENSDARP00000013849, Danio_rerio.ENSDARP00000156311, Homo_sapiens.ENSP00000262395, Ciona_intestinalis.ENSCINP00000008928, Tetraodon_nigroviridis.ENSTNIP00000019321
RefOG030	12	13	135	186	145	139	Monodelphis_domestica.ENSMODP00000047202, Rattus_norvegicus.ENSRNOP00000027029, Tetraodon_nigroviridis.ENSTNIP00000007562, Danio_rerio.ENSDARP00000152506, Gallus_gallus.ENSGALP00000044520, Caenorhabditis_elegans.WBGene00011391.1, Ciona_intestinalis.ENSCINP00000025837, Pan_troglodytes.ENSPTRP00000018769, Homo_sapiens.ENSP00000308845, Mus_musculus.ENSMUSP00000132443, Canis_familiaris.ENSCAFP00000008389, Drosophila_melanogaster.FBpp0300988, Homo_sapiens.ENSP00000488926
RefOG047	12	36	190	428	388	395	Canis_familiaris.ENSCAFP00000062817, Danio_rerio.ENSDARP00000053962, Gallus_gallus.ENSGALP00000069156, Danio_rerio.ENSDARP00000147224, Monodelphis_domestica.ENSMODP00000019473, Mus_musculus.ENSMUSP00000087118, Danio_rerio.ENSDARP00000087660, Drosophila_melanogaster.FBpp0088926, Gallus_gallus.ENSGALP00000073898, Gallus_gallus.ENSGALP00000003899, Tetraodon_nigroviridis.ENSTNIP00000011970, Tetraodon_nigroviridis.ENSTNIP00000011512, Mus_musculus.ENSMUSP00000142136, Caenorhabditis_elegans.WBGene00008205.1, Canis_familiaris.ENSCAFP00000011509, Caenorhabditis_elegans.WBGene00015538.1, Tetraodon_nigroviridis.ENSTNIP00000014805, Gallus_gallus.ENSGALP00000071065, Rattus_norvegicus.ENSRNOP00000018170, Pan_troglodytes.ENSPTRP00000020815, Homo_sapiens.ENSP00000303147, Caenorhabditis_elegans.WBGene00006416.1, Homo_sapiens.ENSP00000361287, Danio_rerio.ENSDARP00000057868, Danio_rerio.ENSDARP00000105782, Tetraodon_nigroviridis.ENSTNIP00000018925, Gallus_gallus.ENSGALP00000024750, Monodelphis_domestica.ENSMODP00000001856, Caenorhabditis_elegans.WBGene00015540.1, Mus_musculus.ENSMUSP00000153488, Pan_troglodytes.ENSPTRP00000004677, Ciona_intestinalis.ENSCINP00000016717, Danio_rerio.ENSDARP00000152910, Danio_rerio.ENSDARP00000139220, Tetraodon_nigroviridis.ENSTNIP00000016496, Rattus_norvegicus.ENSRNOP00000072105
RefOG066	12	14	92	386	276	278	Caenorhabditis_elegans.WBGene00013587.1, Caenorhabditis_elegans.WBGene00011305.1, Danio_rerio.ENSDARP00000153743, Pan_troglodytes.ENSPTRP00000072362, Mus_musculus.ENSMUSP00000111291, Tetraodon_nigroviridis.ENSTNIP00000019875, Monodelphis_domestica.ENSMODP00000012959, Homo_sapiens.ENSP00000384827, Ciona_intestinalis.ENSCINP00000033401, Rattus_norvegicus.ENSRNOP00000070354, Gallus_gallus.ENSGALP00000056541, Drosophila_melanogaster.FBpp0309341, Canis_familiaris.ENSCAFP00000061009, Mus_musculus.ENSMUSP00000138919
RefOG061	9	30	268	1646	821	888	Monodelphis_domestica.ENSMODP00000022235, Pan_troglodytes.ENSPTRP00000037245, Danio_rerio.ENSDARP00000141866, Canis_familiaris.ENSCAFP00000019283, Gallus_gallus.ENSGALP00000022545, Pan_troglodytes.ENSPTRP00000082852, Danio_rerio.ENSDARP00000101451, Danio_rerio.ENSDARP00000150803, Canis_familiaris.ENSCAFP00000030955, Danio_rerio.ENSDARP00000156363, Homo_sapiens.ENSP00000346634, Gallus_gallus.ENSGALP00000003357, Rattus_norvegicus.ENSRNOP00000071825, Pan_troglodytes.ENSPTRP00000031814, Pan_troglodytes.ENSPTRP00000000942, Homo_sapiens.ENSP00000369004, Tetraodon_nigroviridis.ENSTNIP00000007231, Rattus_norvegicus.ENSRNOP00000013570, Monodelphis_domestica.ENSMODP00000021775, Homo_sapiens.ENSP00000435210, Monodelphis_domestica.ENSMODP00000006216, Rattus_norvegicus.ENSRNOP00000006867, Mus_musculus.ENSMUSP00000043583, Mus_musculus.ENSMUSP00000108083, Canis_familiaris.ENSCAFP00000005033, Danio_rerio.ENSDARP00000144710, Mus_musculus.ENSMUSP00000079722, Gallus_gallus.ENSGALP00000026433, Tetraodon_nigroviridis.ENSTNIP00000015159, Monodelphis_domestica.ENSMODP00000058915
RefOG010	2	3	555	591	579	591	Mus_musculus.ENSMUSP00000086311, Mus_musculus.ENSMUSP00000086314, Rattus_norvegicus.ENSRNOP00000065522
RefOG068	12	32	298	3417	2062	2130	Rattus_norvegicus.ENSRNOP00000038464, Gallus_gallus.ENSGALP00000065101, Rattus_norvegicus.ENSRNOP00000010022, Danio_rerio.ENSDARP00000151902, Tetraodon_nigroviridis.ENSTNIP00000012895, Danio_rerio.ENSDARP00000116424, Rattus_norvegicus.ENSRNOP00000059738, Homo_sapiens.ENSP00000347931, Monodelphis_domestica.ENSMODP00000010685, Mus_musculus.ENSMUSP00000021567, Caenorhabditis_elegans.WBGene00015237.1, Homo_sapiens.ENSP00000258229, Tetraodon_nigroviridis.ENSTNIP00000020132, Canis_familiaris.ENSCAFP00000017040, Pan_troglodytes.ENSPTRP00000069989, Mus_musculus.ENSMUSP00000042294, Ciona_intestinalis.ENSCINP00000027090, Danio_rerio.ENSDARP00000131597, Pan_troglodytes.ENSPTRP00000006704, Mus_musculus.ENSMUSP00000109245, Monodelphis_domestica.ENSMODP00000012033, Tetraodon_nigroviridis.ENSTNIP00000022554, Canis_familiaris.ENSCAFP00000019733, Drosophila_melanogaster.FBpp0309618, Danio_rerio.ENSDARP00000118137, Canis_familiaris.ENSCAFP00000062292, Gallus_gallus.ENSGALP00000054373, Danio_rerio.ENSDARP00000157488, Monodelphis_domestica.ENSMODP00000008814, Ciona_intestinalis.ENSCINP00000001707, Homo_sapiens.ENSP00000304192, Pan_troglodytes.ENSPTRP00000051039
RefOG004	11	12	192	375	237	214	Pan_troglodytes.ENSPTRP00000079818, Gallus_gallus.ENSGALP00000028084, Danio_rerio.ENSDARP00000110254, Ciona_intestinalis.ENSCINP00000010262, Homo_sapiens.ENSP00000340836, Rattus_norvegicus.ENSRNOP00000016871, Caenorhabditis_elegans.WBGene00013724.1, Mus_musculus.ENSMUSP00000025631, Tetraodon_nigroviridis.ENSTNIP00000019800, Canis_familiaris.ENSCAFP00000048558, Monodelphis_domestica.ENSMODP00000002384, Danio_rerio.ENSDARP00000149121
RefOG049	9	10	420	572	530	541	Canis_familiaris.ENSCAFP00000017558, Mus_musculus.ENSMUSP00000001183, Danio_rerio.ENSDARP00000044682, Homo_sapiens.ENSP00000486740, Monodelphis_domestica.ENSMODP00000048158, Homo_sapiens.ENSP00000380856, Tetraodon_nigroviridis.ENSTNIP00000009524, Rattus_norvegicus.ENSRNOP00000001699, Gallus_gallus.ENSGALP00000009880, Ciona_intestinalis.ENSCINP00000025584
RefOG039	11	20	783	5637	4445	5156	Monodelphis_domestica.ENSMODP00000015084, Homo_sapiens.ENSP00000485357, Danio_rerio.ENSDARP00000005919, Ciona_intestinalis.ENSCINP00000015858, Tetraodon_nigroviridis.ENSTNIP00000021286, Canis_familiaris.ENSCAFP00000029555, Danio_rerio.ENSDARP00000109565, Canis_familiaris.ENSCAFP00000020141, Tetraodon_nigroviridis.ENSTNIP00000016407, Danio_rerio.ENSDARP00000102597, Pan_troglodytes.ENSPTRP00000036731, Gallus_gallus.ENSGALP00000057876, Mus_musculus.ENSMUSP00000109160, Pan_troglodytes.ENSPTRP00000002974, Rattus_norvegicus.ENSRNOP00000033710, Mus_musculus.ENSMUSP00000074340, Caenorhabditis_elegans.WBGene00001863.1, Homo_sapiens.ENSP00000271588, Monodelphis_domestica.ENSMODP00000014447, Tetraodon_nigroviridis.ENSTNIP00000016408
RefOG023	10	69	299	7425	2914	2812	Tetraodon_nigroviridis.ENSTNIP00000009471, Mus_musculus.ENSMUSP00000140483, Homo_sapiens.ENSP00000490794, Pan_troglodytes.ENSPTRP00000055657, Tetraodon_nigroviridis.ENSTNIP00000021977, Canis_familiaris.ENSCAFP00000053390, Danio_rerio.ENSDARP00000129173, Canis_familiaris.ENSCAFP00000056775, Mus_musculus.ENSMUSP00000122353, Rattus_norvegicus.ENSRNOP00000072558, Mus_musculus.ENSMUSP00000129467, Mus_musculus.ENSMUSP00000130949, Homo_sapiens.ENSP00000406861, Rattus_norvegicus.ENSRNOP00000072033, Canis_familiaris.ENSCAFP00000042190, Rattus_norvegicus.ENSRNOP00000026643, Homo_sapiens.ENSP00000382323, Danio_rerio.ENSDARP00000141193, Danio_rerio.ENSDARP00000101847, Monodelphis_domestica.ENSMODP00000025620, Canis_familiaris.ENSCAFP00000014573, Rattus_norvegicus.ENSRNOP00000041552, Gallus_gallus.ENSGALP00000058491, Rattus_norvegicus.ENSRNOP00000070320, Canis_familiaris.ENSCAFP00000046095, Danio_rerio.ENSDARP00000130459, Danio_rerio.ENSDARP00000127611, Canis_familiaris.ENSCAFP00000014623, Gallus_gallus.ENSGALP00000017072, Homo_sapiens.ENSP00000494473, Mus_musculus.ENSMUSP00000158627, Canis_familiaris.ENSCAFP00000014293, Tetraodon_nigroviridis.ENSTNIP00000006580, Tetraodon_nigroviridis.ENSTNIP00000022420, Danio_rerio.ENSDARP00000129204, Pan_troglodytes.ENSPTRP00000008931, Homo_sapiens.ENSP00000486295, Homo_sapiens.ENSP00000436812, Canis_familiaris.ENSCAFP00000013319, Pan_troglodytes.ENSPTRP00000092487, Monodelphis_domestica.ENSMODP00000050980, Mus_musculus.ENSMUSP00000128276, Monodelphis_domestica.ENSMODP00000008408, Pan_troglodytes.ENSPTRP00000007801, Mus_musculus.ENSMUSP00000107873, Homo_sapiens.ENSP00000485659, Homo_sapiens.ENSP00000486476, Tetraodon_nigroviridis.ENSTNIP00000013402, Rattus_norvegicus.ENSRNOP00000062329, Danio_rerio.ENSDARP00000087236, Pan_troglodytes.ENSPTRP00000078890, Rattus_norvegicus.ENSRNOP00000036806, Homo_sapiens.ENSP00000490759, Homo_sapiens.ENSP00000261405, Rattus_norvegicus.ENSRNOP00000064975, Gallus_gallus.ENSGALP00000036463, Ciona_intestinalis.ENSCINP00000014936, Danio_rerio.ENSDARP00000142662, Gallus_gallus.ENSGALP00000010852, Homo_sapiens.ENSP00000487059, Pan_troglodytes.ENSPTRP00000074125, Gallus_gallus.ENSGALP00000051785, Canis_familiaris.ENSCAFP00000059042, Tetraodon_nigroviridis.ENSTNIP00000022424, Gallus_gallus.ENSGALP00000050462, Canis_familiaris.ENSCAFP00000014576, Danio_rerio.ENSDARP00000154963, Danio_rerio.ENSDARP00000135368, Homo_sapiens.ENSP00000447211
